2020-03-20,11200,0,18500,24900,10000,8500
2020-03-13,71900,32300,4100,49900,11800,17300
2020-03-20,11200,0,18500,24900,10000,8500
2020-03-23,8650,0,1400,47250,7000,14500
2020-03-24,61350,27500,3900,56850,25000,11700
2020-03-25,19200,0,1200,75900,49800,4400
2020-03-26,12000,0,1300,52800,38000,1300
2020-03-27,25450,7900,100,65850,19600,15800
2020-03-30,23500,12000,2100,113300,54300,3600
2020-03-31,28350,8000,2000,94250,63100,12500
2020-04-01,13550,0,400,13550,0,300
2020-04-02,13550,13550,0,13550,13550,0
2020-04-03,65850,11100,5700,53350,10000,10600
2020-04-06,79000,36700,6400,27500,0,18100
2020-04-07,48350,20000,22200,29750,12000,15000
2020-04-08,92200,16700,17300,87900,36200,28200
2020-04-09,112650,10000,57800,104850,34800,26900
2020-04-10,25250,0,12500,38950,12000,21800
2020-04-13,101550,29100,5400,66250,23500,14100
2020-04-14,200550,43500,92800,292850,192400,28700
2020-04-15,184450,46500,56000,121250,28000,38200
2020-04-16,59100,6600,4500,48600,6500,18900
2020-04-17,150800,38800,39200,191500,61000,26900
2020-04-20,86850,36900,23500,142050,47900,22400
2020-04-21,71600,10000,14900,189200,48600,21300
2020-04-22,85050,10000,14600,100950,23800,7600
2020-04-23,77050,16300,6600,144550,128700,19000
2020-04-24,487350,175800,47800,166750,14000,19400
2020-04-27,168700,60700,28100,172600,61800,31900
2020-04-28,94300,20400,8500,71600,15600,31600
2020-04-29,25400,0,0,80100,42500,5000
2020-05-04,26900,15600,4300,122400,50000,6400
2020-05-05,32450,0,1200,53450,7000,4800
